topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Energie,0.02384960701727068,0.9719212237041269,0.005571440884695963,0.9928783751729331,1212.0
Mensch,-0.27524669876875246,1.108623796172262,-0.10411155795936844,0.7943746621770538,79.0
Temperatur,-0.1811814298491031,0.9403267512769705,0.1488853276849064,0.945197636092571,115.0
Wasser,0.0032004916551386514,0.9324999332592816,0.04267720668660651,1.0482077703647583,470.0
Witterung,-0.010245319258710417,0.9554654871891756,-0.2267287039843623,0.703971802201733,141.0
Zeit,0.03457964903695163,1.017977955047912,-0.00655348428939393,0.9715547301317614,472.0
