day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2022-02-01,-1.1578357825686714,1.0,-0.589818894289678,1.0,1.0
2022-02-02,-0.29257625479842925,1.0,-0.7127786176684915,1.0,1.0
2022-02-21,-1.5603960136567543,1.0,-0.568159807163162,1.0,1.0
2022-03-09,0.7071067811865475,1.0,-0.7071067811865476,1.0,1.0
2022-03-12,0.5408276467059393,1.0,-0.8833771839959791,1.0,1.0
2022-03-17,0.6123860731347394,1.0,,1.0,1.0
2022-03-23,-0.49999999999999994,1.0,-0.5,1.0,1.0
2022-05-05,1.046823167105473,1.0,-0.568159807163162,1.0,1.0
2022-05-11,2.387442968277061,1.0,-0.34420943939592547,1.0,1.0
2022-05-21,0.6556512148061426,1.0,-0.34420943939592547,1.0,1.0
2022-05-25,1.4999999999999998,1.0,1.5,1.0,1.0
2022-05-27,0.6334860958608985,1.0,-0.7234191478433648,1.0,1.0
2022-06-15,-0.5555648916659242,0.21431259542771078,1.2673024132798416,1.0,2.0
2022-06-17,0.287649729858832,1.0,-0.7234191478433648,1.0,1.0
2022-06-19,0.6334860958608985,1.0,-0.7234191478433648,1.0,1.0
2022-06-24,-0.31859130241967315,1.0,-0.534435116589223,1.0,1.0
2022-06-28,-0.49999999999999994,1.0,-0.5,1.0,1.0
2022-06-29,0.1384136258564596,0.37457130898021024,-0.45264835624639477,0.15335578689898205,2.0
2022-07-01,0.4032755384742878,1.0,-0.5610872730968641,1.0,1.0
2022-07-03,0.671612429123847,1.0,-0.34420943939592547,1.0,1.0
2022-07-04,0.14318778825501033,0.6974728589470258,-0.2778493499015479,0.3929383189273166,2.0
2022-07-07,-0.4040230021453008,1.0,-0.7234191478433648,1.0,1.0
2022-07-08,-1.3857333896613677,1.4186779480140497,-0.17373674797875838,0.8736932887716597,4.0
2022-07-09,-0.5947592800411144,1.0,1.894107280695535,1.0,1.0
2022-07-10,-0.5359991119365647,0.5268633907981575,-0.5284940285322085,0.26061776529288494,2.0
2022-07-12,-0.7366496714719489,0.45026667075736,-0.6076372719547762,0.09201866038829146,4.0
2022-07-13,0.14422849506768864,1.571790947281178,-0.4156167529441335,0.32605445373156555,4.0
2022-07-14,-0.974375435963539,1.1991500743060644,-0.4670141668428017,0.17367211107890393,2.0
2022-07-15,-1.039415840101012,1.0,-0.7016139698262992,1.0,1.0
2022-07-18,-0.5989445734368112,1.1915987077663155,-0.7186880443069201,0.006690790786231341,2.0
2022-07-19,0.9318838849447458,0.7285555558384167,-0.2051139183184809,0.7571393039571863,3.0
2022-07-21,-0.46166919819313884,0.2214671707347158,-0.5534967474043428,0.02073669797680925,2.0
2022-07-22,0.6334860958608985,1.0,-0.7234191478433648,1.0,1.0
2022-07-25,0.29031295073447866,1.1053081512356733,0.6883789017914749,2.23992333486442,3.0
2022-07-26,-0.4040230021453008,1.0,-0.7234191478433648,1.0,1.0
2022-07-27,0.39989832022073146,1.0,-0.5556986998030958,1.0,1.0
2022-07-28,-0.1675228899528497,0.05808826090248573,1.3769649727782278,2.781452419064035,2.0
2022-07-29,-0.9971079190476309,1.0,-0.568159807163162,1.0,1.0
2022-07-31,0.4931110583571053,1.0,-0.44748932700366584,1.0,1.0
2022-08-01,-1.2340302805502603,1.0,-0.7234191478433648,1.0,1.0
2022-08-03,-0.4040230021453008,1.0,-0.7234191478433648,1.0,1.0
2022-08-04,-0.4040230021453008,1.0,0.6037285595721061,1.0,1.0
2022-08-05,0.43913672097525586,1.0,1.2904878791703471,1.0,1.0
2022-08-07,-0.35682889990499383,1.0,0.220638512749177,1.0,1.0
2022-08-10,-0.29556196020180997,0.7687266573974799,0.0321167642140367,0.9983906486979174,3.0
2022-08-14,-0.5204682184581131,0.733570645528387,-0.6457164320579887,0.0790510560152071,2.0
2022-08-18,-0.7071067811865479,1.0,,1.0,1.0
2022-08-22,-1.4415321001515,1.0,-0.7234191478433648,1.0,1.0
2022-08-24,0.16166769326683875,0.1850723247087715,0.33745650855976717,0.9640212286068528,2.0
2022-08-27,-0.883835356778267,1.0,-0.5556986998030958,1.0,1.0
2022-08-29,0.9908367154779333,1.0,-0.34420943939592547,1.0,1.0
2022-08-31,-0.2652356444533347,0.19627496353390433,-0.5338142936196452,0.26814175633495796,2.0
2022-09-01,0.6334860958608985,1.0,-0.7234191478433648,1.0,1.0
2022-09-02,-1.2223094567716613,1.0,0.8828023246731886,1.0,1.0
2022-09-05,-0.26723407281230666,1.6837596233015897,-0.5934690683025939,0.21593072308640598,3.0
2022-09-07,0.31826880500540605,1.0,1.7179672299774424,1.0,1.0
2022-09-09,-1.4426072693959735,1.0,-0.589818894289678,1.0,1.0
2022-09-15,-1.1757977480098043,1.162904158636923,0.41752743077023996,1.3462783453469924,2.0
2022-09-19,-0.25097882135971805,1.2478472418003135,0.2756135795277775,0.50511444606173,2.0
2022-09-20,-0.4981683129191568,0.7408344607882386,-0.7807013465465462,0.20624414354896384,3.0
2022-09-21,-1.1040726637207579,1.0,-0.34420943939592547,1.0,1.0
2022-09-22,0.8046225484380495,1.0,-0.34420943939592547,1.0,1.0
2022-09-23,1.046823167105473,1.0,-0.568159807163162,1.0,1.0
2022-09-25,-0.1642333733032754,0.5030049329923875,0.035325527072635074,1.4496768220130292,5.0
2022-09-26,-0.6538674220353561,0.8482154283809484,0.5931584438566215,1.369906355780456,6.0
2022-09-27,0.034176020916403614,0.8560971083149144,0.2932080149696374,1.3990144708229106,12.0
2022-09-28,-0.41414837726573184,1.4508971797215797,-0.25800379442003846,0.6530598702682764,10.0
