keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Dunkelheit',-0.27334836201938917,1.1998105885994612,-0.1329465526809438,0.7618908843827318,27.0
'Eis',-0.009877535317635388,0.9947759893289274,0.020971765208301674,0.9878943338033187,278.0
'Frieren',-0.4610960517715624,1.134782038143867,-0.13077853278284382,0.727912289245704,44.0
'Frische',0.1414233529050092,0.9420166155040548,-0.010731526225751934,1.1234179293068145,25.0
'Frost',-0.13647032224323208,0.9453687860840378,-0.2647651816577695,0.5782024737850977,88.0
'Gas',0.010597285514378494,0.9711028081275158,-0.042623817103444206,0.970011115184382,1016.0
'Gefrieren',0.012636012084113933,0.7574286970912442,0.10171136759853794,1.0932350324080717,11.0
'Handschuhe',0.20349515990601283,0.9755781157128762,0.05861344413186318,0.9978046788092433,23.0
'Heizen',0.031043084115543965,1.0170139081790852,0.30499404907532823,1.077354677414893,100.0
'Heizung',0.15915286546519988,0.9307629960872317,0.2115304941611578,1.0722827027727286,96.0
'Kälte',-0.17668848754519492,0.9866512269244803,0.20879384429832432,0.9645154103837064,94.0
'Kältesaison',-0.9283956878537688,1.0,1.854221706845796,1.0,1.0
'Nässe',-0.03504621720301029,0.8429446430155322,0.19703445639157044,1.3710651368578797,28.0
'Reif',0.2711425060699403,0.9569751471188008,-0.30714239192200943,0.5437868603100515,28.0
'Schnee',0.031819524091032426,0.8378350937357296,0.05327565148872635,1.0894839560721519,164.0
'Temperatur unter Null',-0.48751682389243756,0.37228210489759955,-0.3864492152777479,0.31804192370951195,5.0
'Winter',0.05547386443202353,1.0044798006950453,-0.0032841159704831355,0.9799084489880453,444.0
'Winterkleidung',-0.4714924786621861,1.0554283467481784,-0.301287767674112,0.6329167681723704,12.0
'geringe Temperatur',-0.3857117233723196,0.8488077905281338,-0.32374891486659263,0.33448083344685237,5.0
