index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.focus.de/kultur/stars/showdown-bei-gloeoeckler-party-kader-loth-legt-ihre-beziehung-auf-eis_7c225e54-66ef-4375-b217-1a5b02100b98.html,https://www.focus.de/kultur/stars/showdown-bei-gloeoeckler-party-kader-loth-legt-ihre-beziehung-auf-eis_7c225e54-66ef-4375-b217-1a5b02100b98.html,0,www.focus.de,Showdown bei Glööckler-Party: Kader Loth legt ihre Beziehung auf Eis,"Seit 2017 ist Kader Loth mit Ismet ""Isi"" Atli verheiratet. Derzeit scheint es nicht besonders gut mit beiden zu laufen. Den Grund dafür sehen sie beim jeweils anderen.",https://quadro.burda-forward.de/ctf/75e8db8f-20aa-43fa-b0c3-9702000b0068.10b38a75-6110-4e74-bc47-6593518543be.jpg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%281037%2C607%29&hash=33400c9600f87fa359a7f5c174f5e985f93ceff13c863e17752b719599fdcb38,2025-06-01T06:03:55Z,https://web.archive.org/web/20250601061257/https://www.focus.de/kultur/stars/showdown-bei-gloeoeckler-party-kader-loth-legt-ihre-beziehung-auf-eis_7c225e54-66ef-4375-b217-1a5b02100b98.html,"Kader Loth (52), die sich im Laufe ihrer Karriere drastisch verändert hat, und ihr Ehemann ""Isi"" sind momentan auf Kriegspfad. Bei Harald Glööcklers 60. Geburtstagsparty am 30. Mai erschienen sie nic… [+2922 chars]",,de,'Eis'
https://www.nzz.ch/zuerich/news-aus-zuerich-sp-nominiert-kaspar-bopp-fuers-winterthurer-stadtpraesidium-ld.1880331,https://www.nzz.ch/zuerich/news-aus-zuerich-sp-nominiert-kaspar-bopp-fuers-winterthurer-stadtpraesidium-ld.1880331,0,www.nzz.ch,KURZMELDUNGEN - News aus Zürich: SP will mit Kaspar Bopp das Winterthurer Stadtpräsidium erobern +++ Gemeinden wollen das Spital Wetzikon nicht verkaufen,"NZZ Nachrichten, Hintergründe, Meinungen aus der Schweiz, International, Sport, Digital, Wirtschaft, Auto & mehr. Fundierte Berichterstattung rund um die Uhr.","https://img.nzz.ch/2025/06/04/28aee97d-6f04-460e-b56c-fc337d53396d.jpeg?width=1200&height=675&fit=bounds&quality=75&auto=webp&crop=1280,720,x0,y67&wmark=nzz",2025-06-02T15:35:49Z,,"SP-Winterthur nominiert Kaspar Bopp fürs Stadtpräsidium
Kaspar Bopp ist bereits Mitglied des Winterthurer Stadtrats und leitet seit 2019 das Finanzdepartement.
jhu. Winterthur ist eine der wenigen … [+29451 chars]",,de,'Frische'
https://www.diepresse.com/19753231/roggenbrot-mit-gebackenem-knoblauch,https://www.diepresse.com/19753231/roggenbrot-mit-gebackenem-knoblauch,0,www.diepresse.com,Roggenbrot mit gebackenem Knoblauch,"Die Thüringer Gastronomin Maria Groß, auch aus dem Fernsehen bekannt, will mit ihrem Buch „Natürlich Maria“ ihre Sicht der Dinge verbreiten: die Einfachheit der Dinge wertschätzen, Basics selbst machen, möglichst täglich frisch kochen.",https://img.diepresse.com/public/incoming/8c6nrh-roggenbrotlt.jpg/alternates/DPR_SOCIAL_MAGAZIN/roggenbrotlt.jpg,2025-06-03T10:29:07Z,,"Die Thüringer Gastronomin Maria Groß, auch aus dem Fernsehen bekannt, will mit ihrem Buch Natürlich Maria ihre Sicht der Dinge verbreiten: die Einfachheit der Dinge wertschätzen, Basics selbst machen… [+1195 chars]",,de,'Gas'
