index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2026-04/01/frostige-naechte-und-wechselwetter-in-berlin-und-brandenburg,https://www.zeit.de/news/2026-04/01/frostige-naechte-und-wechselwetter-in-berlin-und-brandenburg,0,www.zeit.de,Wetter vor Ostern: Frostige Nächte und Wechselwetter in Berlin und Brandenburg,Hier finden Sie Informationen zu dem Thema „Wetter vor Ostern“. Lesen Sie jetzt „Frostige Nächte und Wechselwetter in Berlin und Brandenburg“.,https://img.zeit.de/news/2026-04/01/frostige-naechte-und-wechselwetter-in-berlin-und-brandenburg-image-group/wide__1300x731,2026-04-01T03:38:48Z,,Das Wetter bleibt in Berlin und Brandenburg zum Start in den April weiterhin nicht stabil. Wolken und Sonne wechseln sich laut dem Deutschen Wetterdienst (DWD) am Mittwoch ab. Es werden zwischen 10 u… [+780 chars],,de,'Frost'
https://www.zeit.de/news/2026-04/01/winter-in-bayern-gibt-nur-allmaehlich-auf,https://www.zeit.de/news/2026-04/01/winter-in-bayern-gibt-nur-allmaehlich-auf,0,www.zeit.de,Wetter: Winter in Bayern gibt nur allmählich auf,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Winter in Bayern gibt nur allmählich auf“.,https://img.zeit.de/news/2026-04/01/winter-in-bayern-gibt-nur-allmaehlich-auf-image-group/wide__1300x731,2026-04-01T03:50:09Z,,"Er geht langsam, aber er geht der Winter in Bayern. Für den Morgen hat der Deutsche Wetterdienst (DWD) noch einmal bis zu zehn Zentimeter Neuschnee in den Alpen, auf der Schwäbischen Alb und im Frank… [+872 chars]",,de,'Winter'
https://www.zeit.de/news/2026-04/01/graue-wochenmitte-wann-zeigt-sich-wieder-die-sonne,https://www.zeit.de/news/2026-04/01/graue-wochenmitte-wann-zeigt-sich-wieder-die-sonne,0,www.zeit.de,"Regen, Wolken und Schnee: Graue Wochenmitte: Wann zeigt sich wieder die Sonne?","Hier finden Sie Informationen zu dem Thema „Regen, Wolken und Schnee“. Lesen Sie jetzt „Graue Wochenmitte: Wann zeigt sich wieder die Sonne?“.",https://img.zeit.de/news/2026-04/01/graue-wochenmitte-wann-zeigt-sich-wieder-die-sonne-image-group/wide__1300x731,2026-04-01T03:55:14Z,,"Der Frühling in Baden-Württemberg lässt weiter auf sich warten. Statt Sonnenschein und lauer Temperaturen erwartet der Deutsche Wetterdienst (DWD) für Mittwoch Wolken, Regen und etwas Schnee. Wer vor… [+1863 chars]",,de,'Schnee'
https://www.zeit.de/news/2026-04/01/jeder-fuenfte-tote-wildvogel-diesen-winter-mit-vogelgrippe,https://www.zeit.de/news/2026-04/01/jeder-fuenfte-tote-wildvogel-diesen-winter-mit-vogelgrippe,0,www.zeit.de,Vogelgrippe: Jeder fünfte tote Wildvogel diesen Winter mit Vogelgrippe,Hier finden Sie Informationen zu dem Thema „Vogelgrippe“. Lesen Sie jetzt „Jeder fünfte tote Wildvogel diesen Winter mit Vogelgrippe“.,https://img.zeit.de/news/2026-04/01/jeder-fuenfte-tote-wildvogel-diesen-winter-mit-vogelgrippe-image-group/wide__1300x731,2026-04-01T08:27:18Z,,"Bei 100 von 498 untersuchten toten Wildvögeln in Berlin ist in diesem Winter die Vogelgrippe nachgewiesen worden. Das Virus sei in diesem Winter bei Wildvögeln praktisch überall verbreitet, teilte di… [+1506 chars]",,de,'Winter'
https://www.bild.de/sport/fussball/ralf-faehrmann-ex-schalke-keeper-beendet-karriere-69cd147127bf87e811dd8be8,https://www.bild.de/sport/fussball/ralf-faehrmann-ex-schalke-keeper-beendet-karriere-69cd147127bf87e811dd8be8,0,www.bild.de,Ex-Schalke-Keeper - Fährmann beendet Karriere,Schlussstrich unter eine lange Schalke-Karriere! Der langjährige Publikumsliebling Ralf Fährmann (37) hängt seine Handschuhe an den Nagel. Der frühere Ka...,"https://images.bild.de/69cd147127bf87e811dd8be8/d1fc6ce2b4ff972adc893f0fd2c24727,55bb9b27?w=1280",2026-04-01T12:58:28Z,,TTS-Player überspringenArtikel weiterlesenSchlussstrich unter eine lange Schalke-Karriere! Der langjährige Publikumsliebling Ralf Fährmann (37) hängt seine Handschuhe an den Nagel. Der frühere Kapitä… [+1777 chars],,de,'Handschuhe'
https://www.faz.net/aktuell/gesellschaft/obdachlosigkeit-14-menschen-sind-im-winter-in-deutschland-erfroren-200694327.html,https://www.faz.net/aktuell/gesellschaft/obdachlosigkeit-14-menschen-sind-im-winter-in-deutschland-erfroren-200694327.html,0,www.faz.net,Wohnungslosigkeit: Mindestens 14 Menschen sind im Winter in Deutschland erfroren,Das ergab eine Zählung der Bundesarbeitsgemeinschaft Wohnungslosenhilfe für den Zeitraum von Oktober bis März. Auch ohne extremen Frost könne das Übernachten im Freien für Obdachlose lebensgefährlich werden.,https://media0.faz.net/image/w1200h627/a07aeed7a1a0/w3000h1567x0y265o/202509/43601.0.1293667471/ein-frankfurter-obdachloser.webp,2026-04-01T15:09:27Z,,Mindestens 14 wohnungslose Menschen sind nach Angaben der Bundesarbeitsgemeinschaft Wohnungslosenhilfe im Zeitraum von Oktober 2025 bis März 2026 in Deutschland erfroren. Für sechs weitere Fälle best… [+1828 chars],,de,'Kälte'
https://www.autobild.de/artikel/schaden-durch-schlagloch-wer-haftet-bei-schaeden--25337819.html,https://www.autobild.de/artikel/schaden-durch-schlagloch-wer-haftet-bei-schaeden--25337819.html,0,www.autobild.de,In diesem Jahr gibt es besonders viele Schlaglöcher – wer haftet?,"Aufgrund des häufigen Wechsels zwischen Frost und Tauwetter ist es in einigen Regionen Deutschlands in diesem Jahr zu mehr Schlaglöchern als üblich gekommen. Wie Sie sich verhalten sollten, wenn Sie durch ein Schlagloch gefahren sind – und wer bei Schäden auf…",https://i.auto-bild.de/ir_img/3/5/6/0/5/0/5/Schlagloch-Alarm-2869-1200x674-4518696f0f67434d.jpg?impolicy=og_images,2026-04-01T16:58:00Z,,"Schlaglöcher im Asphalt entstehen vor allem im Winter: Feuchtigkeit dringt in kleine Risse in der Asphaltdecke ein, dehnt sich beim Gefrieren aus und sprengt den Asphalt dabei auf. Durch den häufigen… [+2821 chars]",,de,'Frost'
https://www.bild.de/sport/fussball/wm-2026-der-sommer-der-italienischen-fans-ist-zerstoert-69cd123ba1f688284ddfbee1,https://www.bild.de/sport/fussball/wm-2026-der-sommer-der-italienischen-fans-ist-zerstoert-69cd123ba1f688284ddfbee1,0,www.bild.de,Moderatorin schreibt in BILD - Der Sommer der italienischen Fans ist zerstört,"Valentina Maceri, Moderatorin bei „Reif ist live“, über das Scheitern von Italien in der WM-Quali.","https://images.bild.de/69cd123ba1f688284ddfbee1/fd053c8abea2154c9a0e4170bef8950a,d66df0a?w=1280",2026-04-01T17:16:34Z,,"TTS-Player überspringenArtikel weiterlesenValentina Maceri, Tochter italienischer Eltern und Moderatorin bei Reif ist live, über das Scheitern der viermaligen Weltmeisters in der WM-Qualifikation.
I… [+1851 chars]",,de,'Reif'
https://t3n.de/news/messfehler-mikroplastik-handschuhe-1737004/,https://t3n.de/news/messfehler-mikroplastik-handschuhe-1737004/,0,t3n.de,Messfehler bei Mikroplastik: Forschende stoßen auf großes Problem,"Ein Team von Wissenschaftler:innen hat ein erhebliches Problem bei der Messung von Mikroplastik in der Umwelt entdeckt. Das Tragen von Handschuhen im Labor könnte dazu führen, dass die Plastikbelastung weltweit überschätzt wird. Mikroplastik ist mittlerweile …",https://cdn.t3n.de/news/wp-content/uploads/2026/04/shutterstock_2566878587.jpg?class=content,2026-04-02T06:30:41Z,,"Mikroplastik ist mittlerweile fast überall nachweisbar: in der Luft, im Wasser und sogar im menschlichen Körper. Doch eine neue Studie, die im März 2026 veröffentlicht wurde, stellt nun viele bisheri… [+3444 chars]",,de,'Handschuhe'
https://www.zeit.de/news/2026-04/02/rekordzahl-bei-anrufen-beim-drk-waermebus,https://www.zeit.de/news/2026-04/02/rekordzahl-bei-anrufen-beim-drk-waermebus,0,www.zeit.de,Ende der Kältehilfe-Saison: Rekordzahl bei Anrufen beim DRK-Wärmebus,Hier finden Sie Informationen zu dem Thema „Ende der Kältehilfe-Saison“. Lesen Sie jetzt „Rekordzahl bei Anrufen beim DRK-Wärmebus“.,https://img.zeit.de/news/2026-04/02/rekordzahl-bei-anrufen-beim-drk-waermebus-image-group/wide__1300x731,2026-04-02T09:01:33Z,,"Noch nie ist der DRK-Wärmebus in Berlin so häufig gerufen worden wie in dieser Kältehilfe-Saison. Die Nummer des Wärmebusses wurde vom 1. November bis 31. März 1.872 Mal gewählt, wie der Landesverban… [+1200 chars]",,de,'Kälte'
https://www.stern.de/gesellschaft/regional/berlin-brandenburg/ende-der-kaeltehilfe-saison--rekordzahl-bei-anrufen-beim-drk-waermebus-37277640.html,https://www.stern.de/gesellschaft/regional/berlin-brandenburg/ende-der-kaeltehilfe-saison--rekordzahl-bei-anrufen-beim-drk-waermebus-37277640.html,0,www.stern.de,Ende der Kältehilfe-Saison: Rekordzahl bei Anrufen beim DRK-Wärmebus,"Zum Ende der Kältehilfe-Saison in Berlin zieht der DRK Landesverband Bilanz: 597 Menschen wurden in Notunterkünfte gebracht, 1.115 Gegenstände ausgegeben. Die Zahl der Anrufe liegt auf Rekordniveau.",https://image.stern.de/37277642/t/3y/v1/w1440/r1.7778/-/02--ydgeo3podnv12axs2048jpeg---f3854cf4f4922d40.jpg,2026-04-02T09:01:33Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Zum Ende der Kältehilfe-Saison in Berlin zieht der DRK Landesverband Bilanz: 597 Menschen wurden in Notunterkünfte gebracht, 1.115 Gegenstände au… [+1414 chars]",,de,'Kälte'
https://www.stern.de/news/umweltverbaende-fordern-kurswechsel--raus-aus-der-fossilen-krise-37277820.html,https://www.stern.de/news/umweltverbaende-fordern-kurswechsel--raus-aus-der-fossilen-krise-37277820.html,0,www.stern.de,Umweltverbände fordern Kurswechsel: Raus aus der fossilen Krise,"Der Umweltdachverband Deutscher Naturschutzring (DNR) sowie mehrere Einzelverbände haben vor dem Hintergrund der aktuellen Krise einen Kurswechsel weg von fossilen Energieträgern gefordert. ""Deutschlands Abhängigkeit von Öl und Gas verschärft die Klimakrise m…",https://image.stern.de/37277822/t/-g/v1/w1440/r1.7778/-/02--wind-und-kohlekraftwerke-in-nordrheinwestfalen---f03a26aa7d7bc71e.jpg,2026-04-02T09:33:31Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Der Umweltdachverband Deutscher Naturschutzring (DNR) sowie mehrere Einzelverbände haben vor dem Hintergrund der aktuellen Krise einen Kurswechse… [+3440 chars]",,de,'Gas'
https://www.bild.de/sport/fussball/mehr-als-eine-respektlosigkeit-schlotterbecks-ricken-satz-laesst-aufhorchen-69ce232e0aecbf4b48bd814f,https://www.bild.de/sport/fussball/mehr-als-eine-respektlosigkeit-schlotterbecks-ricken-satz-laesst-aufhorchen-69ce232e0aecbf4b48bd814f,0,www.bild.de,„Mehr als eine Respektlosigkeit“ - Schlotterbecks Ricken-Satz lässt aufhorchen,TV-Experte Marcel Reif spricht bei „Reif ist Live“ über Nico Schlotterbeck und Lars Ricken.,"https://images.bild.de/69ce232e0aecbf4b48bd814f/3f225fc2d8b42f74e4023196fcea6376-landscape,1f8c1554?w=1280",2026-04-02T09:45:00Z,,"Mehr zum Video anzeigen 
TV-Experte Marcel Reif spricht bei Reif ist Live über Nico Schlotterbeck und Lars Ricken.
Quelle: BILD02.04.2026 - 11:45 Uhr",,de,'Reif'
https://www.bild.de/sport/fussball/abrechnung-mit-italiens-fussball-strukturen-aus-dem-vergangenen-jahrhundert-69ce22a40aecbf4b48bd8131,https://www.bild.de/sport/fussball/abrechnung-mit-italiens-fussball-strukturen-aus-dem-vergangenen-jahrhundert-69ce22a40aecbf4b48bd8131,0,www.bild.de,Abrechnung mit Italiens Fußball - „Strukturen aus dem vergangenen Jahrhundert“,TV-Experte Marcel Reif spricht bei „Reif ist Live“ über das WM-Quali-Aus von Italien.,"https://images.bild.de/69ce22a40aecbf4b48bd8131/ebf8439368b8d7451d8359b47909b89e-landscape,4210c4e7?w=1280",2026-04-02T09:47:57Z,,"Mehr zum Video anzeigen 
TV-Experte Marcel Reif spricht bei Reif ist Live über das WM-Quali-Aus von Italien.
Quelle: BILD02.04.2026 - 11:47 Uhr",,de,'Reif'
